0.138
19	45
20	44
20	44
30	34
7	56
60	4
21	43
39	25
38	26
37	27
36	28
40	24
14	50
19	45
26	38
27	37
23	41
34	30
7	56
48	16
28	36
21	43
28	36
15	49
37	27
35	29
34	30
0	51
24	40
50	14
25	39
39	25
36	28
15	47
12	52
35	29
35	29
33	31
29	35
23	41
7	57
36	28
52	12
27	37
41	23
26	38
31	33
41	23
50	14
48	16
27	37
59	4
50	14
21	43
11	52
4	53
35	29
24	40
5	53
17	47
39	25
14	50
0	47
37	27
6	58
8	54
15	49
19	45
27	37
19	45
15	49
25	39
18	45
49	15
34	30
40	24
53	11
23	41
47	0
44	20
48	16
24	40
38	26
22	42
49	15
44	20
56	8
45	19
17	47
0	50
60	4
0	58
40	24
59	5
37	27
12	52
36	28
45	19
52	12
47	17
54	10
8	56
29	35
20	44
26	38
24	40
19	45
46	18
31	33
3	59
39	25
0	59
14	50
8	56
17	47
37	0
34	30
28	36
40	24
23	41
18	45
21	43
17	47
6	58
31	33
57	7
21	42
28	36
51	13
15	49
32	32
38	26
32	32
32	32
0	56
14	49
58	5
27	36
41	23
13	51
50	14
39	0
46	18
22	42
24	40
55	9
10	54
23	41
51	13
37	0
3	48
4	60
7	56
30	34
25	39
23	41
53	10
12	52
46	1
18	46
24	40
14	50
0	51
54	3
57	7
33	31
45	19
12	52
25	39
0	47
37	27
32	32
29	35
21	43
6	58
52	12
16	48
13	51
9	55
45	19
16	48
24	40
26	38
20	44
32	32
45	19
53	11
12	52
43	21
7	54
34	30
16	48
16	48
33	31
4	60
3	52
10	54
24	40
15	49
14	50
6	58
0	54
43	21
9	55
15	49
52	12
20	44
50	0
0	55
12	52
0	61
5	59
30	34
16	48
19	45
35	29
15	49
31	33
34	30
53	11
0	59
8	55
7	57
28	36
27	37
6	58
20	44
18	46
43	21
47	5
17	47
43	21
16	47
13	51
16	48
13	51
45	19
39	25
17	47
0	37
53	11
18	46
11	53
11	53
8	56
42	22
49	15
48	4
12	52
36	28
58	6
13	51
30	34
20	44
32	32
18	46
14	50
22	42
40	24
30	33
6	58
12	52
32	32
46	18
30	34
0	49
19	45
31	33
22	42
13	51
43	21
19	45
19	45
10	54
50	14
16	48
31	33
15	49
7	57
59	5
36	28
42	22
34	30
28	36
6	58
33	31
36	28
23	41
21	43
55	9
31	33
41	23
40	24
18	44
18	46
24	40
24	40
11	53
24	40
1	53
10	54
30	34
4	55
11	53
17	47
25	39
46	18
41	23
18	46
27	37
42	22
25	39
21	43
17	47
7	57
45	19
51	13
16	48
18	45
46	18
33	31
20	44
33	31
56	8
12	52
40	24
9	54
34	30
10	54
55	9
36	28
28	36
38	26
2	54
18	46
23	41
8	56
22	42
38	26
24	40
55	9
10	53
53	11
10	54
22	42
50	14
38	26
31	33
38	26
25	39
15	48
17	47
24	40
10	54
20	44
42	21
16	48
22	42
53	11
46	18
29	35
11	53
11	53
54	10
49	15
25	39
21	43
7	57
42	22
51	13
19	45
11	52
20	44
49	15
11	53
0	41
22	42
45	19
25	39
17	47
44	19
29	35
17	47
40	24
14	46
6	53
34	30
44	20
18	46
3	48
19	45
27	37
17	47
5	58
26	38
18	46
0	55
34	30
31	33
27	37
42	22
1	56
8	55
57	7
29	35
20	44
14	50
14	50
30	34
42	22
20	44
13	51
31	33
28	36
23	41
32	31
20	44
32	32
6	55
44	20
20	44
16	48
14	50
19	45
21	43
6	58
24	40
23	41
12	52
37	27
52	12
12	52
31	33
53	11
26	38
34	30
8	52
22	42
17	47
7	55
41	23
19	45
31	33
15	49
10	54
15	47
13	51
23	41
8	56
16	48
54	10
15	49
15	49
43	21
13	51
17	47
27	37
19	45
11	53
0	58
20	44
16	48
39	25
45	19
10	54
7	57
33	31
1	56
17	47
16	48
25	38
35	29
53	11
56	8
41	23
57	6
18	46
48	16
8	56
19	45
46	18
36	28
24	40
11	53
26	38
16	48
35	29
30	34
18	46
25	39
28	36
24	40
36	28
9	55
9	55
35	29
24	40
45	19
26	38
26	38
22	42
31	33
15	49
15	49
34	30
42	22
24	40
21	43
0	53
14	50
19	45
18	46
39	25
3	61
57	7
16	48
20	44
8	56
28	36
46	18
42	22
12	52
29	35
8	56
0	30
56	8
48	16
2	62
29	35
18	46
10	54
25	39
16	48
11	53
16	48
25	39
16	48
36	28
19	45
50	14
17	47
36	28
24	40
42	22
46	18
22	42
41	23
33	31
21	43
23	41
12	52
30	34
28	36
44	20
16	48
30	34
27	37
35	29
26	38
15	49
23	41
31	33
38	26
18	46
42	22
7	55
22	42
38	26
51	13
18	46
26	38
10	54
18	46
49	15
26	38
32	32
11	53
24	40
26	38
36	28
54	10
40	24
13	51
19	45
52	12
32	32
8	49
22	42
41	23
37	27
49	15
38	26
21	43
29	35
49	15
46	18
49	15
44	0
30	34
43	21
12	52
52	12
0	51
45	19
22	42
12	51
41	23
53	10
18	46
37	26
57	7
34	30
27	37
35	29
53	11
1	56
44	20
23	41
0	40
20	44
17	47
43	21
16	48
15	49
50	14
15	49
29	35
0	47
51	13
44	20
6	58
52	12
28	36
4	56
21	43
53	11
28	36
40	24
34	30
27	37
49	15
21	43
39	25
33	31
19	45
5	58
14	50
55	9
8	55
18	46
33	31
55	9
39	25
4	60
40	23
47	17
55	9
35	29
23	41
19	45
49	15
17	47
22	42
52	12
20	44
30	34
32	0
41	23
58	6
39	25
37	27
33	31
34	30
54	10
37	27
2	58
14	49
22	42
33	31
38	26
59	5
45	19
25	39
38	26
21	43
38	26
43	21
47	17
42	22
48	16
42	22
31	33
56	8
50	14
46	18
56	7
54	10
10	54
48	16
28	36
48	16
56	8
52	12
20	44
50	13
35	29
29	35
38	26
34	30
46	18
49	15
15	49
7	56
29	35
6	57
15	49
47	17
50	14
34	30
28	36
36	28
46	18
51	13
12	52
31	33
52	12
46	18
23	41
42	22
24	40
18	46
33	31
53	11
50	14
11	53
28	36
47	17
11	53
48	16
13	51
39	25
46	18
41	23
16	48
35	29
21	43
41	23
5	56
28	36
48	16
42	22
36	28
42	22
6	58
39	24
27	37
32	32
20	44
46	18
49	15
48	16
41	23
31	33
42	22
56	8
45	19
5	58
13	50
40	24
53	11
22	42
42	22
21	43
48	16
31	33
8	56
52	12
55	9
14	50
50	14
61	1
23	41
43	21
59	5
15	49
48	16
51	13
11	53
30	34
51	13
54	9
50	14
22	42
42	22
46	18
53	11
51	13
0	53
32	32
44	20
46	18
22	42
43	21
34	30
28	35
44	20
51	13
22	42
22	42
43	21
30	34
50	14
51	13
37	27
58	4
51	13
46	18
33	31
35	29
58	6
26	38
50	14
44	20
13	0
46	18
56	8
3	50
48	16
12	52
28	36
46	18
53	11
22	42
48	16
54	10
32	32
35	29
50	14
54	10
45	19
11	53
45	19
44	20
18	46
38	26
49	15
54	10
56	8
17	47
45	19
49	15
44	20
27	37
38	26
29	35
29	35
27	37
53	11
36	27
0	56
41	23
59	4
22	42
25	39
41	0
46	18
35	29
49	15
29	35
52	12
46	18
24	40
23	41
20	44
40	24
13	51
42	22
53	11
45	19
51	13
49	15
41	23
40	24
38	26
40	24
36	28
32	32
48	16
53	11
16	48
57	7
34	30
3	60
9	55
36	28
31	33
31	33
42	22
38	26
53	11
37	27
24	40
46	18
30	34
28	36
51	13
37	0
46	18
52	12
60	0
49	15
43	21
45	0
23	41
2	59
43	21
12	52
26	38
47	17
30	34
27	37
26	38
50	14
21	43
28	36
21	43
57	7
8	54
0	51
22	41
1	52
49	15
57	7
40	24
22	42
43	21
23	41
53	11
45	19
51	13
4	53
20	44
56	8
5	53
24	40
14	50
44	20
48	16
30	34
26	38
36	28
27	37
31	33
28	36
19	45
40	24
49	15
18	46
20	44
61	3
50	14
54	10
13	0
13	0
54	10
46	18
53	11
26	38
35	29
13	0
49	15
5	53
18	46
21	43
19	42
51	13
39	25
38	26
31	33
22	42
51	13
41	23
22	42
20	44
41	23
43	21
55	9
0	58
40	24
52	12
26	38
14	50
47	17
40	24
42	20
45	19
6	58
48	16
13	51
18	46
26	38
34	30
37	27
28	36
48	16
49	15
40	24
38	26
35	29
42	22
14	50
27	37
19	45
0	57
22	42
25	39
16	48
31	33
47	17
45	18
22	42
24	40
2	54
59	5
33	31
43	21
37	27
36	28
55	9
50	14
20	43
26	38
36	28
27	37
35	29
54	10
42	22
43	21
36	28
37	27
29	35
40	24
17	46
34	30
37	27
23	41
16	48
28	35
28	36
48	16
30	34
17	47
9	53
54	9
18	46
57	6
18	46
57	7
9	53
49	15
50	14
29	35
48	16
16	48
53	11
27	37
